-01|Un canza es un treng nuoy xo tronk e gung pei|Un canza es un treng nuoy xo tronk e gung pei
-02|Un canza pei es di yan rey pei xo qui gung canza|Un canza pei es di yan rey pei xo qui gung canza
-03|Le zi goy mon un canza, din y un canza pei|Le zi goy mon un canza, din y un canza pei
-04|Toy qui anh gung biet, kun toy mon y qui gung biet pel gung biet khi kavay y toy|Toy qui anh gung biet, kun toy mon y qui gung biet pel gung biet khi kavay y toy
-05|Vi lag qualle es un vi lag ruoua pret eng lanta qualle|Vi lag qualle es un vi lag ruoua pret eng lanta qualle
-06|Vi lag qualle es un chong chingeng vi lag ruoua chingeng tor Mi Lan|Vi lag qualle es un chong chingeng vi lag ruoua chingeng tor Mi Lan
-07|Toy qui nuoy gung biet pel toy din y gung chong ke-Gung chengnin|Toy qui nuoy gung biet pel toy din y gung chong ke-Gung chengnin
-08|Vi lag qualle es di plu tot vi lag|Vi lag qualle es di plu tot vi lag
-09|Un canza es di plu tot treng nuoy pel to es kyong treng uong|Un canza es di plu tot treng nuoy pel to es kyong treng uong
-10|Gung vi lag khi ruoua ruong y pret mit choon gung chengnin|Gung vi lag khi ruoua ruong y pret mit choon gung chengnin
-11|Di yan rey nag eng tonko ketoy es vi chyon shang hat|Di yan rey nag eng tonko ketoy es vi chyon shang hat
-12|Ca, toy khong kyong un chengnin, toy khong un trung chung|Ca, toy khong kyong un chengnin, toy khong un trung chung
-13|Vi lag qualle es un vi lag sap vi lag viet pel Mi Lan ruo hob vi lag viet|Vi lag qualle es un vi lag sap vi lag viet pel Mi Lan ruo hob vi lag viet
-14|Wan toy khay yio ketoy, toy khong cwoi|Wan toy khay yio ketoy, toy khong cwoi
-15|Di plu tot chong es chong ketoy|Di plu tot chong es chong ketoy
-16|Di plu tot chong es chong kegoy|Di plu tot chong es chong kegoy
-17|Gung shang hat qui lyrics|Gung shang hat qui lyrics
-18|Khi goy ca?|Khi goy ca?
-19|Toy khong un ruo xento chengnin, khi toy mon y ngung un chengnin phu|Toy khong un ruo xento chengnin, khi toy mon y ngung un chengnin phu
-20|Toy khong Milan, ay khi goy|Toy khong Milan, ay khi goy
-21|Toy khong Karen, ay khi goy|Toy khong Karen, ay khi goy
-22|Jor Nor es rey trong gung biet ke-Mi Lan|Jor Nor es rey trong gung biet ke-Mi Lan
-23|Mi Lan khi Jor Nor khi qui cwoi|Mi Lan khi Jor Nor khi qui cwoi
-24|Gung chengnin khi gung zange, vao qao nen goy chatch|Gung chengnin khi gung zange, vao qao nen goy chatch
-25|Mi Lan es un zung chungu|Mi Lan es un zung chungu
-26|Di gung zung chungu chad gung zange, khi xo es brong|Di gung zung chungu chad gung zange, khi xo es brong
-27|Toy khong un vi lag viet chengnin, khi toy chonoch eng lanta hobo|Toy khong un vi lag viet chengnin, khi toy chonoch eng lanta hobo
-28|Lo sia es di canza pei|Lo sia es di canza pei
-29|Lo sia es chong ketoy|Lo sia es chong ketoy
-30|Lo sia es chong kegoy|Lo sia es chong kegoy
-31|Es chong kegoy xar|Es chong kegoy xar
-32|Wan toy khay yia ketoy, toy mon y din|Wan toy khay yia ketoy, toy mon y din
-33|Di kos es tot y xeet, khi to es di plu tot treng|Di kos es tot y xeet, khi to es di plu tot treng
